CD-Uberlândia;Desktop;HP;HP Compaq 8100 Elite SFF Brazil PC;103096;BRG113F281;EM USO;rede;N/A
CD-Uberlândia;Desktop;Dell;Optiplex 3070;156281;2J677Z2;EM USO;rede;N/A
CD-Uberlândia;Desktop;Dell;Optiplex 3070;156278;2J147Z2;EM USO;rede;N/A
CD-Uberlândia;Desktop;Dell;Optiplex 3070;156276;2J737Z2;EM USO;rede;N/A
CD-Uberlândia;Desktop;Dell;Optiplex 3070;156256;2HX67Z2;EM USO;rede;N/A
CD-Uberlândia;Desktop;Dell;Optiplex 3070;156283;2HX37Z2;EM USO;rede;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;127763;18J160901204;EM USO;ABASTECIMENTO;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;127797;18J141900358;EM USO;Conferência;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;S/N;18J145201937;EM USO;ESTOQUE;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;127876;18J160901194;EM USO;EXPEDIÇÃO;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;S/N;18J160901202;EM USO;REDE NATURA ;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;138387;18J145202002;EM USO;QUALIDADE;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;137604;18J145201998;EM USO;REDE NATURA ;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;137605;18J145202001;EM USO;REDE NATURA ;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;S/N;18J184304283;EM USO;REDE NATURA ;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;127849;18J160901200;EM USO;REDE NATURA ;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;156241;18J184304277;EM USO;REDE NATURA ;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;127858;18J160901195;EM USO;BOT/BOV;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZM400;110492;08J104303734;Danificado;Estoque TI;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;Z4M plus;74801;s/n;Danificado;Estoque TI;SUCATA
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZM400;110468;08J104402671;Danificado;Estoque TI;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZM400;S/N;08J113301038;Danificado;Estoque TI;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;130928;18J162102287;BACKUP;Estoque TI;N/A
CD-Uberlândia;IMPRESSORA TÉRMICA (ZEBRA);ZEBRA;ZT 410;129637;18J160600712;BACKUP;Estoque TI;N/A
CD-Uberlândia;Scanner de Mão;Symbol;N/A;S/N;4431;EM USO;bot/bov;N/A
CD-Uberlândia;Scanner de Mão;Symbol;N/A;S/N;4445;EM USO;bot/bov;N/A
CD-Uberlândia;Scanner de Mão;Symbol;N/A;S/N;4459;EM USO;ponta de linha;N/A
CD-Uberlândia;Scanner de Mão;Symbol;N/A;N/A;4452;EM USO;conferencia;N/A
CD-Uberlândia;Scanner de Mão;Symbol;N/A;N/A;4453;EM USO;conferencia;N/A
CD-Uberlândia;Scanner de Mão;Symbol;N/A;N/A;4457;EM USO;conferencia;N/A
CD-Uberlândia;Scanner de Mão;Symbol;N/A;N/A;4460;EM USO;conferencia;N/A
